State,Confirmed,Recovered,Active,Deaths,Avg.DailyCases,Recovery(%)
Andaman and Nicobar,4875,4719,95,61,6,96.8
Andhra Pradesh,878285,866856,4355,7074,479,98.7
Arunachal Pradesh,16629,16333,241,55,18,98.2
Assam,215346,210808,3526,1012,96,97.9
Bihar,245661,239109,5205,1347,634,97.3
Chandigarh,19044,18244,494,306,65,95.8
Chhattisgarh,266266,246054,17040,3172,1368,92.4
Daman and Diu,3363,3352,9,2,1,99.6
Delhi,615914,595305,10358,10251,1139,96.6
Goa,49976,48280,1000,718,127,96.6
Gujarat,234289,217935,12127,4227,1026,93.0
Haryana,257067,248172,6079,2816,590,96.5
Himachal Pradesh,52010,45174,5966,870,385,86.8
Jammu and Kashmir,118006,112093,4076,1837,301,94.9
Jharkhand,112853,110125,1718,1010,247,97.5
Karnataka,908275,881882,14389,12004,1152,97.1
Kerala,700158,636814,60558,2786,6293,90.9
Ladakh,9270,8723,423,124,18,94.1
Lakshadweep,0,0,0,0,0,100.0
Madhya Pradesh,230125,215211,11446,3468,995,93.5
Maharashtra,1892707,1781841,62218,48648,3940,94.1
Manipur,27598,25512,1750,336,58,92.4
Meghalaya,13221,12531,557,133,32,94.8
Mizoram,4122,3957,158,7,12,95.9
Nagaland,11841,11230,538,73,9,94.8
Odisha,325861,321309,2720,1832,356,98.6
Puducherry,37715,36752,339,624,45,97.4
Punjab,162705,151679,5837,5189,435,93.2
Rajasthan,298018,282631,12779,2608,989,94.8
Sikkim,5561,5037,401,123,122,90.5
Tamil Nadu,805777,784117,9692,11968,1127,97.3
Telengana,281414,273013,6888,1513,592,97.0
Tripura,33167,32532,257,378,23,98.0
Uttar Pradesh,573401,547631,17593,8177,1205,95.5
Uttarakhand,85853,78371,6074,1408,584,91.2
West Bengal,534850,507070,18460,9320,2155,94.8
