State,Hospitals,Ventilators,Beds,ICU_Beds,Funds_Received(in Crores)
Andaman and Nicobar,36,32,1294,65,10
Andhra Pradesh,928,2081,83230,4162,200
Arunachal Pradesh,238,66,2624,131,17
Assam,1729,604,24178,1209,119
Bihar,3034,771,30857,1543,113
Chandigarh,13,141,5631,282,9
Chhattisgarh,396,436,17430,871,42
Daman and Diu,26,31,1250,63,2
Delhi,176,986,39455,1973,255
Goa,65,115,4584,229,6
Gujarat,1408,1622,64862,3243,171
Haryana,2148,904,36141,1807,107
Himachal Pradesh,1036,401,16040,802,44
Jammu and Kashmir,157,200,7995,400,143
Jharkhand,1364,662,26496,1325,38
Karnataka,10684,6553,262109,13105,182
Kerala,3342,2481,99227,4961,310
Ladakh,0,0,0,0,20
Lakshadweep,13,11,426,21,0
Madhya Pradesh,971,1623,64939,3247,185
Maharashtra,3203,5793,231739,11587,394
Manipur,38,45,1790,90,11
Meghalaya,185,131,5244,262,0
Mizoram,113,62,2496,125,0
Nagaland,49,64,2561,128,0
Odisha,2501,641,25650,1282,65
Puducherry,20,129,5172,259,3
Punjab,2320,1525,60997,3050,131
Rajasthan,5644,2329,93176,4659,285
Sikkim,41,49,1952,98,0
Tamil Nadu,2439,3884,155375,7769,511
Telengana,4110,2498,99919,4996,257
Tripura,164,117,4667,233,0
Uttar Pradesh,17103,7035,281402,14070,334
Uttarakhand,1289,596,23843,1192,55
West Bengal,2263,2838,113535,5677,191
